materialSampleID,country,locality,principalInvestigator,collectorList,coordinateUncertaintyInMeters,minimumElevationInMeters,decimalLongitude,decimalLatitude,yearCollected,monthCollected,dayCollected,specificEpithet,genus,diseaseDetected,fatal,sampleType,diseaseTested,ZEscore,infraspecificEpithet
86,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1404,148.40100,-35.95800,2013,9,29,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1893.3712,
87,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1404,148.40100,-35.95800,2013,10,8,signifera,Crinia,TRUE,FALSE,swabbing,Bd,3608.4055,
88,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1404,148.40100,-35.95800,2013,10,8,signifera,Crinia,TRUE,FALSE,swabbing,Bd,3376.7342,
89,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1404,148.40100,-35.95800,2013,10,8,signifera,Crinia,TRUE,FALSE,swabbing,Bd,3881.7443,
90,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1404,148.40100,-35.95800,2013,10,8,signifera,Crinia,TRUE,FALSE,swabbing,Bd,545.0109,
91,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1404,148.40100,-35.95800,2013,10,8,signifera,Crinia,TRUE,FALSE,swabbing,Bd,47679.2869,
92,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1363.3606,
93,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1101.6887,
94,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1768.3687,
95,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,3433.402,
96,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,15418.6417,
97,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1468.3627,
98,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,85.0017,
99,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,525.0105,
100,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1075.0215,
101,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,66.668,
102,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,signifera,Crinia,TRUE,FALSE,swabbing,Bd,12216.911,
103,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,20,signifera,Crinia,TRUE,FALSE,swabbing,Bd,795.0159,
104,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,20,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1515.0303,
105,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,20,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1846.7036,
106,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,20,signifera,Crinia,TRUE,FALSE,swabbing,Bd,661.6799,
